,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160
2128,14,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,1,1,6.0,3.0,2,2,6,Trinidad
2137,24,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,1,5.0,7.0,9.0,,,,,,2,,1,1,5.0,6.0,2,6,6,Trinidad
2139,23,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,7,10.0,1.0,,,,,,,1,5.0,7.0,9.0,,,,,,2,,1,3,4.0,5.0,2,4,6,Trinidad
2140,17,1,,,,,2,,,,,1,2,1,2,3,,,,,,,,1.0,3,1,8.0,10.0,,,,,,,9,7.0,,,,,,,,2,,1,4,5.0,6.0,1,2,6,Trinidad
2145,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,1,1,2.0,3.0,2,2,6,Trinidad
2147,22,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,3,5,7.0,10.0,,,,,,,5,7.0,,,,,,,,2,,1,1,5.0,6.0,2,1,6,Trinidad
2152,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,1,5.0,6.0,2,2,6,Trinidad
2154,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,9.0,,,,,,,1,7.0,,,,,,,,9,,1,6,,,1,2,6,Riberalta
2155,22,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,1,2.0,6.0,,,,,,,1,7.0,,,,,,,,9,,1,1,,,1,2,6,Riberalta
2156,19,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,3,10,,,,,,,,,7,,,,,,,,,1,9.0,3,6,,,1,3,6,Riberalta
2161,18,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,6,1,7.0,,,,,,,,7,,,,,,,,,9,,3,3,,,1,3,6,Riberalta
2162,18,1,,,,,1,2.0,3.0,4.0,5.0,1,2,2,2,3,,,,,,,,1.0,1,1,9.0,,,,,,,,1,2.0,,,,,,,,2,,3,9,,,1,2,6,Riberalta
2163,17,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,5,1,7.0,8.0,,9.0,10.0,,,,7,,,,,,,,,2,,3,9,,,1,2,6,Riberalta
2164,15,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,3,1,7.0,8.0,,,,,,,7,9.0,,,,,,,,2,,3,1,,,2,2,6,Riberalta
2165,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,8.0,9.0,,10.0,,,,,7,,,,,,,,,2,,3,9,,,2,2,6,Riberalta
2166,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,8.0,,9.0,10.0,,,,7,,,,,,,,,2,,1,9,,,1,2,6,Riberalta
2171,14,1,,,,,2,1.0,4.0,5.0,,2,2,2,2,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,4,8.0,12.0,,,,,,,2,,1,9,,,2,2,6,Riberalta
2175,18,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,6,1,9.0,10.0,,,,,,,13,,,,,JUEGOS,,,,1,2.0,3,1,,,1,2,6,Rurrenabaque
2176,19,1,,,,,1,5.0,,,,1,2,2,2,2,,,,,,,,1.0,6,1,2.0,10.0,,,,,,,8,,,,,,,,,2,,2,1,5.0,6.0,1,6,6,Rurrenabaque
2181,18,1,,,,,1,5.0,,,,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,7.0,,,,,,,9,,,,,,,,,1,2.0,2,1,5.0,,2,3,6,Rurrenabaque
2187,20,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,4.0,7.0,,8.0,9.0,10.0,11.0,,1,5.0,7.0,9.0,,,,,,1,2.0,2,5,6.0,,2,6,6,San Borja
2196,15,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,2.0,7.0,,8.0,9.0,10.0,11.0,,1,7.0,9.0,,,,,,,2,,1,9,,,1,2,6,Fátima
2198,25,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,9.0,,10.0,11.0,,,,1,7.0,,,,,,,,1,2.0,2,9,,,1,6,6,Fátima
2199,19,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,4,2,7.0,9.0,,10.0,,,,,5,9.0,12.0,,,,,,,1,2.0,1,1,2.0,,2,3,6,Fátima
2204,22,1,,,,,2,5.0,,,,1,1,1,1,3,,,,,,,,1.0,7,1,,,,,,,,,13,,,,,,,,,1,2.0,3,2,,,1,3,6,Cobija
2208,16,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,4,7,10.0,,,,,,,,5,9.0,12.0,,,,,,,2,,1,1,,,2,2,6,Cobija
2216,19,1,,,,,1,5.0,,,,1,1,2,2,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,7,13.0,,,,,,,,2,,2,6,,,2,3,6,Cobija
2218,15,1,,,,,1,5.0,,,,1,1,2,2,3,,,,,,,,,2,10,,,,,,,,,7,,,,,,,,,1,2.0,1,1,2.0,4.0,1,2,6,Cobija
2223,16,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,4,8,10.0,,,,,,,,5,,,,,,,,,2,,1,1,,,2,2,6,Cobija
2227,17,1,,,,,1,,,,,1,1,2,2,2,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,9.0,11.0,,,,,,,2,,1,9,,,2,2,6,Cobija
2232,14,1,,,,,1,2.0,,,,1,1,2,2,3,,,,,,,,,1,1,6.0,,,,,,,,1,7.0,,,,,,,,2,,3,5,6.0,4.0,1,2,6,Cobija
2240,16,1,,,,,1,3.0,4.0,,,1,1,2,1,3,,,,,,,,1.0,7,10,1.0,2.0,,,,,,,13,,,,,,,,,2,,1,3,5.0,,1,2,6,Cobija
2243,22,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,1,10,,,,,,,,,7,,,,,,,,,1,2.0,2,5,,,1,4,6,Cobija
2244,21,1,,,,,1,1.0,5.0,,,1,1,2,2,2,,,,,,,,1.0,7,7,1.0,,,,,,,,9,,,,,,,,,2,,2,1,,,2,3,6,Cobija
2254,19,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,11.0,12.0,,,,,,,2,,2,9,,,2,6,6,Cobija
2255,17,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,5.0,,6.0,7.0,8.0,9.0,10.0,3,5.0,9.0,10.0,11.0,,12.0,,,1,1.0,2,1,,,1,2,6,Cobija
2262,17,1,,,,,2,5.0,,,,1,1,2,2,3,,,,,,,,,1,1,,,,,,,,,9,,,,,,,,,2,,1,1,,,2,2,6,Cobija
2274,15,1,,,,,2,,,,,1,1,1,2,3,,,,,,,,1.0,7,9,10.0,,,,,,,,1,,,,,,,,,2,,3,9,,,2,2,6,Cobija
2275,22,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,5.0,,10.0,,,,,1,7.0,9.0,,,,,,,1,2.0,2,5,1.0,3.0,2,6,6,Cobija
2276,17,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,3,1,2.0,10.0,,,,,,,9,7.0,12.0,,,,,,,1,2.0,2,5,8.0,,2,2,6,Cobija
2283,18,1,,,,,1,1.0,4.0,,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,9.0,,10.0,,,,,1,5.0,7.0,9.0,,,,,,1,9.0,2,1,5.0,6.0,1,3,6,Cobija
2297,15,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,1,2.0,7.0,,8.0,,,,,3,9.0,,,,,,,,2,,1,4,,,1,2,6,Cobija
2299,14,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,1,,,,,,,,,2,,,,,,,,,1,9.0,1,1,,,2,2,6,Cobija
2300,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,8,10.0,,,,,,,,7,,,,,,,,,2,,1,2,1.0,7.0,1,2,6,Cobija
2304,18,1,,,,,1,4.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,7.0,9.0,,,,,,,9,,,,,,,,,1,1.0,2,1,2.0,,2,3,6,Cobija
2305,18,1,,,,,1,5.0,,,,1,1,2,2,3,,,,,,,,1.0,7,5,9.0,10.0,,,,,,,9,,,,,,,,,1,2.0,2,9,,,2,3,6,Cobija
2306,17,1,,,,,1,,,,,1,1,2,2,3,,,,,,,,1.0,7,1,10.0,,,,,,,,5,,,,,,,,,2,,1,1,7.0,,1,2,6,Cobija
2308,25,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,1,4.0,,,,,,,,1,2.0,2,1,5.0,7.0,1,3,6,Cobija
2310,27,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,5,9.0,12.0,,,,,,,1,2.0,2,1,5.0,6.0,1,3,6,Cobija
2311,21,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,5,1,4.0,7.0,,,,,,,7,9.0,,,,,,,,1,2.0,2,5,1.0,,2,3,6,Cobija
2319,18,1,,,,,1,1.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,4.0,5.0,,10.0,,,,,1,5.0,10.0,,,,,,,1,9.0,1,5,6.0,1.0,1,3,6,Cobija
2333,17,1,,,,,2,1.0,,,,1,1,2,2,3,,,,,,,,,1,1,,,,,,,,,9,,,,,,,,,2,,1,1,,,2,2,6,Cobija
2336,18,1,,,,,1,2.0,4.0,,,1,2,2,2,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,13,,,,,COMO POTENCIAR,,,,2,,1,5,,,1,2,6,Porvenir
2338,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,9.0,10.0,,,,,,,1,9.0,,,,,,,,2,,1,6,1.0,5.0,2,2,6,Porvenir
2341,15,1,,,,,1,3.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,8.0,,9.0,10.0,,,,1,13.0,,,,DEPORTES,,,,2,,1,9,,,1,2,6,Porvenir
2344,14,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,3,10,,,,,,,,,7,9.0,,,,,,,,2,,1,3,,,2,2,6,Porvenir
2347,21,1,,,,,1,4.0,,,,1,2,2,2,2,,,,,,,,1.0,7,11,1.0,6.0,,,,,,,2,,,,,,,,,2,,3,1,5.0,6.0,2,2,6,Porvenir
2349,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,4,6.0,1.0,,,,,,,1,7.0,12.0,,,,,,,2,,3,2,6.0,7.0,2,2,6,Porvenir
2350,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,9.0,10.0,,,,,,,1,9.0,,,,,,,,2,,1,6,1.0,5.0,2,2,6,Porvenir
2352,20,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,5.0,,,,,,,1,9.0,,,,,,,,1,2.0,2,5,,,1,6,6,Villa Viluyo
2353,19,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,1,8.0,10.0,,5.0,,,,,9,,,,,,,,,2,,1,1,,,2,2,6,Villa Viluyo
2355,17,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,1,5.0,8.0,,,,,,1.0,7,1,,,,,,,,,12,,,,,,,,,2,,1,5,,,2,2,6,Villa Viluyo
2358,17,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,1.0,5.0,7.0,,10.0,,,1.0,6,1,,,,,,,,,1,9.0,,,,,,,,2,,1,1,,,2,2,6,Villa Viluyo
2359,22,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,1,4.0,,,,,,,,2,,2,5,,,1,3,6,Villa Viluyo
2362,15,1,,,,,1,1.0,2.0,5.0,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,,,,,,,,1,2.0,,,,,,,,2,,1,6,,,1,2,6,Villa Viluyo
2365,15,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,3,10,,,,,,,,,7,,,,,,,,,2,,3,9,,,1,2,6,Villa Viluyo
2368,17,1,,,,,1,4.0,6.0,,,1,2,2,1,2,,,,,,,,1.0,6,2,4.0,9.0,,,,,,,9,,,,,,,,,1,2.0,2,5,6.0,7.0,1,2,6,Villa Viluyo
2369,17,1,,,,,1,1.0,2.0,,,1,1,1,1,1,1.0,2.0,10.0,,,,,,7,7,9.0,10.0,,,,,,,2,5.0,12.0,,,,,,,1,2.0,2,5,6.0,7.0,1,2,6,Villa Viluyo
2372,22,1,,,,,2,2.0,3.0,5.0,,1,2,2,1,3,,,,,,,,,5,10,,,,,,,,,7,9.0,,,,,,,,2,,1,1,6.0,,1,6,6,Villa Viluyo
2378,14,1,,,,,1,3.0,5.0,,,1,1,2,1,1,2.0,,,,,,,1.0,5,7,,,,,,,,,7,,,,,,,,,2,,1,2,,,1,2,6,Quime
2380,17,1,,,,,2,3.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,2,1,7.0,10.0,,,,,,,2,5.0,,,,,,,,2,,1,3,4.0,,1,2,6,Patacamaya
2382,16,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,2,1,2.0,10.0,,,,,,,1,4.0,,,,,,,,2,,3,5,,,2,2,6,Patacamaya
2383,17,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,10,,,,,,,,,13,,,,,NINGUNO,,,,2,,3,1,,,2,2,6,Patacamaya
2385,24,1,,,,,1,5.0,,,,1,1,2,1,1,9.0,,,,,,,1.0,7,2,,,,,,,,,9,,,,,,,,,2,,2,5,,,1,6,6,Patacamaya
2392,19,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,2,10,11.0,,,,,,,,1,7.0,,,,,,,,1,1.0,1,3,,,2,3,6,Molinos
2395,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,1,1,2.0,10.0,,,,,,,5,9.0,,,,,,,,2,,3,1,2.0,6.0,2,2,6,Mallku Originario
2396,20,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,2,1,3.0,4.0,,8.0,,,,,1,5.0,10.0,,,,,,,1,2.0,3,5,1.0,,1,6,6,Mallku Originario
2397,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,4.0,10.0,,,,,,,5,9.0,,,,,,,,2,,1,6,,,2,3,6,Mallku Originario
2398,19,1,,,,,2,2.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,1,1,4.0,10.0,,,,,,,1,5.0,7.0,,,,,,,1,2.0,1,5,1.0,2.0,1,2,6,Mallku Originario
2400,18,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,4.0,7.0,9.0,,,,,,2,,1,1,,,2,2,6,Mallku Originario
2401,18,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,2,1,2.0,9.0,,,,,,,9,,,,,,,,,2,,3,5,2.0,1.0,1,2,6,Machac Huyo
2403,17,1,,,,,1,3.0,4.0,,,1,1,2,1,1,1.0,2.0,,,,,,1.0,7,1,2.0,,,,,,,,1,,,,,,,,,2,,3,1,,,1,2,6,Machac Huyo
2408,18,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,5,2.0,,,,,,,,9,11.0,,,,,,,,1,2.0,1,1,2.0,,2,2,6,La Paz
2413,20,1,,,,,1,2.0,3.0,4.0,,1,1,2,1,3,,,,,,,,1.0,7,4,9.0,8.0,,10.0,,,,,7,7.0,,,,,,,,1,2.0,2,6,,,1,6,6,La Paz
2415,22,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,7,9.0,12.0,,,,,,,2,,2,6,,,1,6,6,La Paz
2421,20,1,,,,,2,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,10.0,,11.0,,,,,1,5.0,7.0,9.0,,,,,,2,,1,1,2.0,,2,3,6,La Paz
2428,16,1,,,,,1,4.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,5,5,,,,,,,,,9,,,,,,,,,1,2.0,2,3,,,2,2,6,Jatuquira
2431,22,1,,,,,1,2.0,,,,1,1,2,1,2,,,,,,,,1.0,7,2,10.0,7.0,,,,,,,1,5.0,,,,,,,,2,,2,1,5.0,2.0,2,3,6,Ixiamas
2433,14,1,,,,,2,1.0,4.0,,,1,2,2,1,3,,,,,,,,2.0,2,5,,,,,,,,,1,,,,,,,,,2,,1,5,1.0,2.0,1,2,6,Ixiamas
2436,20,1,,,,,1,1.0,2.0,3.0,5.0,1,2,2,1,3,,,,,,,,1.0,7,1,4.0,9.0,,10.0,,,,,9,,,,,,,,,1,2.0,2,6,,,1,6,6,El Alto
2438,19,1,,,,,1,1.0,2.0,3.0,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,9.0,,,,,4,9.0,,,,,,,,2,,1,6,,,1,3,6,El Alto
2440,18,1,,,,,1,1.0,2.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,4.0,,,,,,,1,5.0,7.0,9.0,12.0,,,,,2,,1,6,,,2,2,6,El Alto
2445,18,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,5,2,10.0,,,,,,,,5,,,,,,,,,1,2.0,3,5,,,2,2,6,El Alto
2446,22,1,,,,,1,1.0,2.0,3.0,,1,2,2,1,3,,,,,,,,1.0,6,1,10.0,7.0,,,,,,,1,5.0,7.0,12.0,,,,,,2,,3,5,1.0,,1,6,6,El Alto
2448,18,1,,,,,2,2.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,5,7.0,,,,,,,,1,2.0,1,6,,,1,2,6,El Alto
2451,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,2,5.0,7.0,,9.0,10.0,,,,3,7.0,9.0,,,,,,,1,2.0,3,3,,,1,2,6,El Alto
2454,16,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,4,7,8.0,9.0,,,,,,,9,12.0,2.0,3.0,4.0,,5.0,6.0,7.0,2,,3,6,,,2,2,6,El Alto
2459,21,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,6,9,10.0,,,,,,,,8,9.0,12.0,,,,,,,1,2.0,2,5,,,2,6,6,El Alto
2464,17,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,1,1,2.0,7.0,,,,,,,5,12.0,,,,,,,,1,2.0,1,6,,,1,2,6,El Alto
2467,21,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,1,2.0,7.0,9.0,,10.0,,,1.0,5,1,2.0,4.0,,5.0,6.0,7.0,8.0,9.0,5,7.0,9.0,12.0,,,,,,2,,2,4,5.0,,2,6,6,El Alto
2469,19,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,1,10.0,,,,,,,1.0,7,1,10.0,,,,,,,,9,7.0,,,,,,,,2,,1,4,5.0,6.0,1,3,6,El Alto
2472,22,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,1,1.0,2.0,,,,,,1.0,7,2,5.0,,,,,,,,5,,,,,,,,,1,2.0,2,6,,,1,4,6,El Alto
2476,16,1,,,,,1,2.0,3.0,4.0,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,4,1,2.0,,,,,,,,5,,,,,,,,,2,,1,5,,,1,2,6,El Alto
2477,17,1,,,,,1,1.0,,,,1,1,2,1,1,1.0,2.0,,,,,,1.0,7,1,2.0,5.0,,,,,,,5,,,,,,,,,2,,1,9,,,2,2,6,El Alto
2478,19,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,9,,,,,,,,,2,,1,5,1.0,,1,2,6,El Alto
2480,17,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,2,9.0,,,,,,,,5,,,,,,,,,2,,1,1,5.0,,2,2,6,El Alto
2483,21,1,,,,,1,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,10.0,,,,,,,,1,,,,,,,,,2,,2,5,6.0,,2,6,6,El Alto
2484,22,1,,,,,1,4.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,9,,,,,,,,,1,2.0,1,5,6.0,,1,6,6,El Alto
2485,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,10.0,,,,,,,,9,,,,,,,,,2,,3,9,,,2,2,6,El Alto
2486,23,1,,,,,1,2.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,4,1,2.0,,,,,,,,9,,,,,,,,,2,,2,5,,,2,3,6,El Alto
2491,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,5,2,,,,,,,,,2,5.0,6.0,,,,,,,2,,1,5,,,2,2,6,El Alto
2492,22,1,,,,,1,1.0,5.0,,,1,1,2,1,1,1.0,2.0,4.0,,5.0,9.0,,1.0,5,1,2.0,,,,,,,,1,2.0,,,,,,,,2,,2,5,,,2,6,6,El Alto
2493,19,1,,,,,1,2.0,3.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,1,,,,,,,,,7,,,,,,,,,1,1.0,2,2,5.0,,1,6,6,El Alto
2495,14,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,1,1,10.0,,,,,,,,7,,,,,,,,,2,,2,9,,,1,2,6,El Alto
2497,20,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,4.0,7.0,,,,,,,1,1.0,1,1,2.0,,2,2,6,El Alto
2498,20,1,,,,,1,2.0,3.0,5.0,,1,2,2,1,1,1.0,10.0,11.0,,,,,1.0,7,1,2.0,10.0,,,,,,,1,4.0,5.0,,,,,,,2,,1,5,3.0,1.0,1,2,6,El Alto
2501,17,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,2,2,,,,,,,,1.0,7,1,2.0,5.0,,,,,,,7,,,,,,,,,2,,1,9,,,1,2,6,El Alto
2508,21,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,5,7,,,,,,,,,7,,,,,,,,,2,,2,1,,,1,6,6,Colquencha
2509,16,1,,,,,2,1.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,5,9.0,,,,,,,,2,,1,9,,,1,2,6,Caranavi
2511,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,4.0,,7.0,6.0,9.0,,,1,4.0,5.0,9.0,12.0,,,,,2,,1,1,,,2,3,6,Cachichira
2516,19,1,,,,,1,1.0,2.0,4.0,,1,1,1,1,1,2.0,9.0,10.0,,,,,1.0,7,7,9.0,,,,,,,,1,7.0,,,,,,,,1,1.0,1,1,6.0,3.0,2,3,6,Sucre
2517,20,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,1,1.0,4.0,5.0,,8.0,9.0,10.0,1.0,7,1,7.0,8.0,,,,,,,1,3.0,9.0,,,,,,,1,1.0,2,1,,,1,3,6,Sucre
2518,16,1,,,,,1,2.0,3.0,4.0,,1,1,2,1,1,8.0,9.0,10.0,,,,,1.0,7,8,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,5,6.0,1.0,1,2,6,Sucre
2528,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,10.0,11.0,,,,,,,9,12.0,,,,,,,,2,,1,7,,,2,6,6,Sucre
2537,22,1,,,,,1,1.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,4,7.0,10.0,,,,,,,5,6.0,,,,,,,,1,1.0,2,5,6.0,4.0,1,6,6,Sucre
2539,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,1,10.0,11.0,,,,,,,7,,,,,,,,,1,1.0,2,6,4.0,2.0,1,6,6,Sucre
2540,21,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,2.0,7,1,10.0,,,,,,,,7,,,,,,,,,2,,1,4,5.0,6.0,1,3,6,Sucre
2543,21,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,5,6.0,7.0,,8.0,,,,,2,4.0,5.0,10.0,,,,,,1,2.0,2,5,6.0,4.0,2,3,6,Sucre
2545,24,1,,,,,1,5.0,1.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,7.0,,,,,,,1,7.0,,,,,,,,1,2.0,2,5,6.0,2.0,2,6,6,Sucre
2549,21,1,,,,,2,4.0,5.0,,,1,2,1,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,1,3.0,7.0,,,,,,,1,2.0,2,5,1.0,6.0,1,6,6,Sucre
2550,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,7.0,,,,,,,1,2.0,7.0,,,,,,,1,2.0,2,6,4.0,1.0,2,6,6,Sucre
2552,23,1,,,,,1,1.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,,,,,,,,1,7.0,,,,,,,,2,,2,5,6.0,4.0,2,6,6,Sucre
2555,17,1,,,,,1,4.0,5.0,,,1,2,1,1,2,,,,,,,,1.0,7,10,2.0,,,,,,,,5,,,,,,,,,1,2.0,1,5,6.0,,2,2,6,Sucre
2556,20,1,,,,,1,1.0,2.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,,,,,,,,,1,7.0,,,,,,,,2,,2,9,,,1,6,6,Sucre
2558,22,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,7,4,10.0,,,,,,,,5,,,,,,,,,2,,2,9,,,2,6,6,Sucre
2559,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,9,10.0,,,,,,,,1,,,,,,,,,2,,1,9,,,2,2,6,Sucre
2561,20,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,3,1,10.0,,,,,,,,5,,,,,,,,,2,,1,9,,,2,3,6,Sucre
2562,22,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,6,2,4.0,6.0,,,,,,,5,,,,,,,,,2,,2,5,6.0,1.0,2,6,6,Sucre
2564,21,1,,,,,1,1.0,3.0,4.0,,1,1,2,1,2,,,,,,,,1.0,7,4,5.0,10.0,,,,,,,9,,,,,,,,,2,,2,5,6.0,4.0,1,6,6,Sucre
2567,18,1,,,,,1,3.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,9,,,,,,,,,2,,1,5,6.0,,1,3,6,Sucre
2575,14,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,2,2,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,1,1,,,2,2,6,Sucre
